week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
6,Jalen Dummett,139376,QB,LAMAR,1,60.0,5,6,6.4,2.93,1,0,0.0,33.3,2,0,2,33.3,7,1,1,204,67.1,48.0,46.3,58.6,0,0,7,0,50.0,42.4,14.3,1,0,0,0,0,1,14.3,17,2.8
6,Cam Miller,125299,QB,N DAK ST,1,66.7,6,6,4.2,2.5,0,1,16.7,50.0,3,0,2,25.0,6,1,1,250,68.0,75.2,78.2,61.7,0,0,6,0,0.0,56.3,0.0,0,0,0,0,0,0,0.0,13,2.2
6,Ryan Yost,103948,QB,WAGNER,1,80.0,5,5,7.8,2.65,0,0,0.0,60.0,3,0,2,25.0,6,1,1,338,65.9,64.9,67.9,57.6,0,0,7,0,50.0,69.6,16.7,1,0,0,0,0,0,0.0,21,4.2
6,Tommy Bryant,78466,QB,KENNESAW,1,75.0,4,5,14.0,2.78,0,1,20.0,60.0,3,0,2,0.0,6,0,3,200,34.8,59.4,74.0,55.8,1,0,6,0,0.0,104.2,0.0,0,1,0,0,0,2,33.3,77,15.4
6,LeShane Taylor,142672,QB,WAGNER,1,75.0,4,5,10.5,2.64,0,0,0.0,60.0,3,0,3,0.0,7,0,3,338,64.6,43.3,38.8,60.4,0,1,7,0,0.0,36.7,0.0,0,2,0,1,0,1,14.3,29,5.8
6,Zach Zebrowski,104784,QB,S ILLINOIS,1,40.0,5,5,9.0,4.82,0,0,0.0,40.0,2,0,4,0.0,6,0,0,295,64.2,40.9,42.9,57.3,0,0,6,0,0.0,47.9,0.0,0,1,0,0,0,0,0.0,12,2.4
6,Brandon Rainey,22374,QB,CITADEL,1,25.0,4,5,19.3,2.02,0,1,14.3,20.0,1,0,4,0.0,6,0,1,139,70.4,45.0,42.8,56.5,0,2,8,0,25.0,29.2,16.7,1,0,0,1,0,2,25.0,50,10.0
6,Stewart Howell,104792,QB,TENN MARTN,1,75.0,4,4,9.8,2.76,0,0,0.0,75.0,3,0,2,0.0,5,0,1,310,65.5,71.7,76.0,57.7,0,0,5,0,50.0,90.6,20.0,1,0,0,0,0,0,0.0,25,6.3
6,Dresser Winn,63583,QB,TENN MARTN,1,66.7,3,4,-1.0,2.26,0,0,0.0,50.0,2,0,4,0.0,5,0,0,310,18.0,31.6,29.1,59.8,0,0,7,0,25.0,56.3,20.0,1,0,0,1,0,1,14.3,1,0.3
6,Brandon Robinson,82141,QB,RHODE ISLD,1,75.0,4,4,4.5,3.33,0,0,0.0,50.0,2,0,3,33.3,6,1,1,274,65.7,62.5,75.8,51.7,0,0,6,1,0.0,69.8,0.0,0,2,0,0,0,0,0.0,25,6.3
6,Javon Williams Jr.,87540,HB,S ILLINOIS,1,100.0,1,3,4.0,3.57,0,0,0.0,33.3,1,0,2,0.0,3,0,0,295,72.9,57.4,56.4,56.8,0,0,3,0,0.0,42.4,0.0,0,0,0,2,0,0,0.0,4,1.3
6,Gunnor Faulk,78470,QB,UC DAVIS,1,100.0,3,3,15.0,3.73,0,0,0.0,100.0,3,0,1,0.0,4,0,4,322,65.2,91.5,90.6,67.5,0,0,4,0,0.0,118.8,0.0,0,1,0,0,0,0,0.0,58,19.3
6,Mike Chandler II,139371,QB,LAMAR,1,33.3,3,3,8.0,3.48,0,0,0.0,33.3,1,0,4,0.0,5,0,1,204,65.5,48.8,52.1,55.6,0,0,5,0,25.0,47.9,20.0,1,1,0,0,0,0,0.0,13,4.3
6,Mike Dare,103951,QB,SM HOUSTON,1,50.0,2,2,0.0,2.3,0,0,0.0,50.0,1,0,1,0.0,2,0,0,281,69.6,57.8,54.6,60.7,0,0,2,0,0.0,60.4,0.0,0,0,0,0,0,0,0.0,8,4.0
6,John Lampley,63557,QB,SOUTHERN U,1,100.0,2,2,16.5,3.55,0,0,0.0,100.0,2,0,1,0.0,2,0,2,297,64.4,83.0,83.6,60.0,0,0,2,0,0.0,158.3,0.0,0,0,0,0,2,0,0.0,28,14.0
6,Christian Graves,104106,WR,SM HOUSTON,1,50.0,2,2,5.5,2.1,0,0,0.0,50.0,1,0,0,0.0,2,0,0,281,12.5,27.0,27.6,52.7,0,1,2,0,,16.7,0.0,0,0,0,0,0,1,50.0,-1,-0.5
6,J'Bore Gibbs,91400,QB,S DAK ST,1,100.0,1,1,-1.0,2.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0,292,65.9,36.5,60.4,55.1,0,0,1,2,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
6,Dejuan Miller,84125,WR,ARKAPB,1,100.0,1,1,5.0,3.4,0,0,0.0,0.0,0,0,1,100.0,1,1,0,112,64.8,56.8,60.6,63.2,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
6,Keilon Elder,83673,HB,GRAMBLING,1,100.0,1,1,25.0,3.4,0,0,0.0,100.0,1,0,0,0.0,1,0,1,177,24.4,57.3,76.6,54.4,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,77,77.0
6,Xavier Shepherd,104767,QB,KENNESAW,1,100.0,1,1,19.0,2.6,0,1,100.0,100.0,1,0,0,0.0,1,0,1,200,69.7,90.3,84.6,67.6,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,22,22.0
6,Seth Morgan,103954,QB,VA MILT IN,1,0.0,1,1,23.0,2.4,0,0,0.0,0.0,0,0,1,,1,0,0,336,63.7,46.9,51.9,57.5,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
6,Trent Tompkins,103944,QB,UC DAVIS,1,0.0,1,1,15.0,3.7,0,0,0.0,0.0,0,0,0,,1,0,0,322,65.9,88.1,46.8,87.7,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
6,Nate Martens,103929,QB,N IOWA,1,,0,1,,4.25,0,0,0.0,0.0,0,0,2,,2,0,0,255,61.8,47.2,47.8,,1,0,2,0,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
6,Metrius Fleming,105030,WR,TENN TECH,1,100.0,1,1,18.0,4.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,309,66.2,51.9,72.6,56.8,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
6,Marshun Douglas,102401,HB,CENT ARK,1,100.0,1,1,30.0,2.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,132,67.5,66.8,75.7,60.0,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,31,31.0
6,Derrick Ponder,82138,QB,MWSTATE,1,64.7,17,17,8.9,2.69,0,2,11.1,47.1,8,0,6,27.3,20,3,3,983,25.9,57.1,68.1,36.6,0,0,21,0,33.3,62.6,10.0,2,1,0,0,0,0,0.0,87,5.1
week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
7,Phil Jurkovec,83533,QB,BOSTON COL,1,56.9,51,51,11.5,2.66,0,1,1.9,54.9,28,0,15,3.4,55,1,16,121,43.3,68.9,73.9,45.4,0,2,58,0,6.7,72.8,1.8,1,2,0,0,2,1,1.7,345,6.8
7,Brady White,25506,QB,MEMPHIS,1,72.3,47,50,10.6,2.59,2,3,5.4,68.0,34,0,13,0.0,57,0,27,218,71.4,78.4,75.9,67.9,0,0,65,0,15.4,138.8,3.5,2,5,0,1,6,1,1.5,486,9.7
7,Dillon Gabriel,86272,QB,UCF,1,77.6,49,49,10.9,2.6,0,2,3.8,71.4,35,0,14,7.9,56,3,23,323,71.8,77.9,80.6,56.5,0,0,59,0,21.4,146.6,5.4,3,4,0,0,5,1,1.7,599,12.2
7,Bo Nix,97790,QB,AUBURN,1,62.8,43,48,10.8,3.25,1,1,1.9,50.0,24,0,11,11.1,56,3,17,115,72.2,59.7,57.6,60.4,0,3,61,1,9.1,48.3,1.8,1,7,0,4,1,1,1.6,272,5.7
7,Joey Yellen,71430,QB,PITTSBURGH,1,61.9,42,46,10.7,2.54,0,1,2.0,47.8,22,0,20,15.4,49,4,14,268,38.1,55.1,54.5,,2,0,53,1,15.0,74.3,6.1,3,0,0,2,1,3,5.7,277,6.0
7,Jarret Doege,60353,QB,W VIRGINIA,1,69.0,42,44,7.9,2.45,1,2,4.3,59.1,26,0,15,10.3,47,3,16,343,69.6,66.0,67.1,52.9,0,1,49,0,6.7,94.7,2.1,1,2,0,1,3,2,4.1,318,7.2
7,Anthony Russo,40108,QB,TEMPLE,1,76.7,43,43,7.1,2.17,0,1,2.2,72.1,31,0,4,6.1,45,2,22,306,43.4,66.7,67.0,59.7,0,2,47,0,0.0,100.7,0.0,0,2,0,0,4,3,6.4,278,6.5
7,Lindell Stone,62774,QB,VIRGINIA,1,65.9,41,42,8.0,2.53,0,1,2.2,57.1,24,0,6,11.1,45,3,10,335,69.7,44.3,45.4,49.9,0,2,50,0,16.7,49.0,2.2,1,2,0,1,0,2,4.0,193,4.6
7,Rex Culpepper,40540,QB,SYRACUSE,1,55.3,38,41,12.9,2.54,1,4,9.3,46.3,19,0,6,9.5,43,2,10,304,69.8,58.9,58.4,59.4,0,1,45,1,33.3,76.4,4.7,2,0,0,2,3,3,6.7,211,5.1
7,Stetson Bennett,60387,QB,GEORGIA,1,51.4,35,40,13.2,2.79,4,3,7.3,45.0,18,0,13,0.0,45,0,12,173,36.7,57.2,57.3,57.0,0,3,47,1,15.4,53.0,4.4,2,3,0,1,2,3,6.4,269,6.7
7,Brady McBride,77641,QB,TEXAS ST,1,76.9,39,40,7.6,2.99,0,1,2.5,70.0,28,0,10,6.7,43,2,16,314,70.5,73.3,75.1,56.4,0,0,43,0,10.0,95.8,2.3,1,2,0,1,1,1,2.3,260,6.5
7,Chase Brice,60363,QB,DUKE,1,77.1,35,40,6.9,2.82,0,0,0.0,60.0,24,0,13,11.1,50,3,14,154,71.2,56.6,45.9,74.7,1,3,52,0,30.8,49.0,8.0,4,6,0,4,1,2,3.8,190,4.8
7,Gunnar Watson,83570,QB,TROY,1,75.0,36,38,9.7,2.49,1,3,7.7,68.4,26,0,7,3.7,41,1,17,318,69.1,75.4,77.1,53.1,0,2,42,0,28.6,100.0,4.9,2,1,0,1,3,3,7.1,333,8.8
7,Matt Corral,83517,QB,OLE MISS,1,61.1,36,37,11.3,2.99,0,0,0.0,51.4,19,0,11,13.6,47,3,11,226,70.7,34.2,30.8,56.2,0,6,48,0,18.2,46.2,4.3,2,6,0,1,2,7,14.6,203,5.5
7,Shane Buechele,12659,QB,SMU,1,64.9,37,37,7.8,2.51,0,3,7.5,62.2,23,0,10,4.2,43,1,12,287,70.2,66.9,66.9,58.6,0,0,46,0,30.0,115.1,7.0,3,3,0,0,2,3,6.5,384,10.4
7,Sam Howell,97599,QB,N CAROLINA,1,71.4,35,36,13.2,3.04,0,5,11.9,55.6,20,0,21,20.0,44,5,14,245,70.4,91.5,91.7,62.9,1,1,50,0,19.0,107.9,9.1,4,4,0,0,3,1,2.0,374,10.4
7,Kevaris Thomas,83593,QB,W KENTUCKY,1,53.3,30,35,10.9,3.05,1,0,0.0,45.7,16,0,16,0.0,40,0,8,346,41.1,45.2,40.5,63.1,1,2,41,0,25.0,54.2,10.0,4,1,0,3,2,2,4.9,158,4.5
7,Cornelious Brown IV,98356,QB,GA STATE,1,57.1,35,35,13.3,2.39,0,3,8.1,51.4,18,0,4,10.0,35,2,11,175,26.4,55.3,60.8,50.1,0,0,37,0,0.0,110.9,0.0,0,0,0,0,3,1,2.7,314,9.0
7,Mac Jones,60323,QB,ALABAMA,1,83.3,30,34,12.5,2.57,1,3,7.9,70.6,24,0,14,4.0,37,1,19,103,69.5,83.1,82.2,60.0,0,1,41,1,14.3,139.0,5.4,2,0,1,2,4,0,0.0,417,12.3
7,Feleipe Franks,40217,QB,ARKANSAS,1,75.0,32,34,6.3,3.06,0,1,2.9,61.8,21,0,14,12.5,43,3,13,111,42.7,61.1,64.7,53.5,0,1,45,0,28.6,81.0,9.3,4,3,0,2,1,2,4.4,244,7.2
7,Clayton Tune,77652,QB,HOUSTON,1,73.3,30,33,12.1,3.18,1,3,7.7,63.6,21,0,16,4.5,41,1,19,182,38.3,75.9,74.4,65.1,0,0,48,0,18.8,114.5,7.3,3,5,2,0,2,3,6.3,310,9.4
7,Trevor Lawrence,77632,QB,CLEMSON,1,78.1,32,32,11.6,2.44,0,3,9.4,75.0,24,0,5,4.0,34,1,18,140,69.1,90.7,91.3,54.4,0,1,34,0,20.0,143.2,2.9,1,1,0,0,5,1,2.9,404,12.6
7,D'Eriq King,26636,QB,MIAMI FL,1,63.0,27,31,7.0,2.46,2,0,0.0,51.6,16,0,8,5.9,37,1,11,220,72.2,56.4,47.5,72.0,1,2,42,0,50.0,87.6,10.8,4,2,0,1,4,2,4.8,222,7.2
7,Lowell Narcisse,60439,QB,UTSA,1,64.3,28,31,9.9,3.44,0,0,0.0,51.6,16,0,17,11.1,39,2,12,331,70.0,71.1,63.8,73.3,0,0,42,0,11.8,76.7,5.1,2,6,0,3,1,0,0.0,155,5.0
7,Bryson Lucero,97608,QB,UAB,1,59.3,27,31,10.8,2.68,1,0,0.0,48.4,15,0,8,6.3,33,1,8,321,68.6,63.2,62.1,,1,1,36,0,25.0,58.8,6.1,2,0,0,2,1,1,2.8,142,4.6
7,Asher O'Hara,78529,QB,MIDDLE TN,1,67.9,28,29,10.4,3.3,0,3,9.1,62.1,18,0,17,5.3,42,1,12,224,73.2,78.6,77.7,66.5,0,1,46,0,29.4,97.5,11.9,5,8,0,1,3,1,2.2,164,5.7
7,Michael Pratt,123229,QB,TULANE,1,60.9,23,29,13.6,3.73,0,2,6.1,41.4,12,0,18,14.3,39,2,11,319,71.6,55.3,55.7,56.5,1,1,45,0,22.2,61.3,10.3,4,6,0,5,1,1,2.2,192,6.6
7,Logan Bonner,39990,QB,ARK STATE,1,70.4,27,28,12.1,2.64,0,1,3.3,64.3,18,0,12,5.3,34,1,13,113,70.1,70.9,71.5,59.9,0,0,37,0,16.7,120.7,5.9,2,4,0,1,3,0,0.0,197,7.0
7,Layne Hatcher,82068,QB,ARK STATE,1,77.8,27,28,13.2,2.76,0,2,7.1,75.0,21,0,12,0.0,32,0,16,113,68.4,87.4,89.4,57.3,0,0,32,0,25.0,153.6,9.4,3,1,0,1,4,0,0.0,332,11.9
7,Sam Hartman,77618,QB,WAKE,1,65.4,26,27,14.5,2.82,0,6,21.4,59.3,16,0,9,5.9,32,1,13,339,68.4,90.1,88.7,64.9,1,0,33,0,44.4,111.5,12.5,4,1,0,0,1,1,3.0,309,11.4
7,Jordan McCloud,101058,QB,USF,1,66.7,24,26,9.5,2.71,0,1,3.3,57.7,15,0,10,6.3,33,1,10,327,20.1,53.5,60.2,44.4,0,0,37,0,40.0,117.8,12.1,4,3,0,2,3,1,2.7,182,7.0
7,Luke Anthony,41127,QB,LA TECH,1,79.2,24,25,9.0,2.42,0,1,3.7,72.0,18,0,11,5.3,32,1,9,208,29.7,63.0,71.3,37.5,0,1,35,0,54.5,88.8,18.8,6,1,0,1,1,2,5.7,180,7.2
7,Devin Leary,77628,QB,NC STATE,1,73.9,23,25,13.0,2.74,0,4,15.4,60.0,15,0,12,11.8,29,2,10,248,29.4,82.5,87.3,54.5,0,1,30,0,16.7,82.9,6.9,2,2,0,2,1,1,3.3,205,8.2
7,Collin Hill,40245,QB,S CAROLINA,1,72.7,22,24,7.0,2.2,2,1,3.6,62.5,15,0,5,6.3,25,1,9,289,30.0,62.3,63.8,54.0,0,1,29,0,20.0,75.7,4.0,1,0,0,0,1,1,3.4,144,6.0
7,Levi Lewis,60428,QB,LA LAFAYET,1,69.6,23,24,9.2,2.74,0,1,4.0,58.3,14,0,7,12.5,28,2,10,207,69.7,70.8,61.5,76.0,0,1,29,0,0.0,77.3,0.0,0,3,0,1,1,3,10.3,173,7.2
7,Grayson McCall,98002,QB,COAST CAR,1,75.0,24,24,8.8,2.63,0,1,4.0,70.8,17,0,11,5.6,28,1,13,141,71.5,68.5,73.7,54.8,0,0,29,0,9.1,124.0,3.6,1,3,0,0,2,1,3.4,202,8.4
7,Grant Wells,97784,QB,MARSHALL,1,87.5,24,24,10.1,2.43,0,2,8.0,79.2,19,0,2,9.5,26,2,14,214,70.1,91.3,91.8,64.1,0,1,27,0,0.0,116.5,0.0,0,2,0,0,2,1,3.7,227,9.5
7,Kellen Mond,60556,QB,TEXAS A&M,1,59.1,22,23,7.8,2.33,0,0,0.0,56.5,13,0,2,0.0,23,0,5,312,68.8,56.7,58.0,59.3,1,1,24,1,0.0,85.2,0.0,0,0,0,0,2,0,0.0,139,6.0
7,Miles Kendrick,77673,QB,KANSAS,1,68.2,22,23,4.7,2.68,1,0,0.0,60.9,14,0,10,6.7,29,1,3,198,69.7,30.3,29.0,57.2,0,2,29,0,50.0,48.3,17.2,5,1,0,0,1,3,10.3,95,4.1
7,Desmond Trotter,83552,QB,S ALABAMA,1,85.7,21,22,8.2,3.34,0,0,0.0,81.8,18,0,9,0.0,26,0,9,288,70.1,76.0,75.1,60.9,0,0,28,0,22.2,117.2,7.7,2,2,0,1,1,1,3.6,187,8.5
7,K.J. Costello,40268,QB,MISS STATE,1,80.0,20,22,4.4,2.82,1,0,0.0,68.2,15,0,14,6.3,30,1,4,227,12.0,34.3,36.9,50.1,1,1,30,0,42.9,58.7,20.0,6,2,0,0,0,3,10.0,99,4.5
7,Jarrett Guarantano,40771,QB,TENNESSEE,1,78.9,19,21,4.7,2.43,0,0,0.0,66.7,14,0,8,6.7,24,1,6,307,67.5,29.8,29.1,,0,2,24,0,37.5,35.5,12.5,3,0,0,2,0,2,8.3,88,4.2
7,Mason Garcia,123811,QB,E CAROLINA,1,63.2,19,20,11.7,3.34,0,0,0.0,50.0,10,0,10,16.7,29,2,7,156,71.6,46.6,39.0,64.3,0,0,31,1,40.0,65.4,13.8,4,5,0,1,0,2,6.5,104,5.2
7,Malik Cunningham,60436,QB,LOUISVILLE,1,88.9,18,20,6.3,2.82,0,1,4.8,80.0,16,0,7,0.0,24,0,9,210,69.5,82.0,78.1,70.0,0,0,25,0,14.3,110.8,4.2,1,3,1,1,1,0,0.0,132,6.6
7,Ian Book,40216,QB,NOTRE DAME,1,57.9,19,19,7.4,3.14,0,1,4.8,57.9,11,0,8,0.0,27,0,10,258,71.1,66.7,64.4,63.3,0,0,30,0,50.0,73.6,14.8,4,4,0,0,0,1,3.3,106,5.6
7,Jordan Travis,77615,QB,FLORIDA ST,1,61.1,18,19,12.8,3.36,0,2,10.5,42.1,8,0,14,27.3,25,3,7,167,72.9,88.2,73.2,82.8,0,1,25,0,14.3,74.7,8.0,2,4,0,1,1,1,4.0,191,10.1
7,Will Rogers,124184,QB,MISS STATE,1,100.0,15,18,2.9,2.28,2,0,0.0,83.3,15,0,3,0.0,19,0,6,227,67.0,72.0,71.5,,0,0,19,0,33.3,113.0,5.3,1,0,0,1,1,0,0.0,120,6.7
7,Jason Bean,83529,QB,N TEXAS,1,75.0,16,17,10.5,2.66,0,3,17.6,70.6,12,0,6,0.0,20,0,9,251,71.2,95.5,91.7,92.2,0,0,20,0,16.7,144.5,5.0,1,2,0,1,2,0,0.0,181,10.6
7,Shai Werts,40384,QB,GA SOUTHRN,1,70.6,17,17,7.8,2.6,0,0,0.0,70.6,12,0,4,0.0,19,0,9,174,32.2,70.9,77.4,58.0,0,0,19,0,0.0,131.6,0.0,0,2,0,0,3,0,0.0,127,7.5
7,Hendon Hooker,60593,QB,VA TECH,1,92.3,13,15,4.3,3.01,1,1,5.9,73.3,11,0,7,8.3,19,1,6,337,74.0,92.5,78.3,89.9,0,0,21,0,14.3,116.2,5.3,1,3,0,1,1,0,0.0,111,7.4
7,Terry Wilson,40709,QB,KENTUCKY,1,86.7,15,15,6.5,2.52,0,2,12.5,80.0,12,0,2,7.7,17,1,7,202,70.7,89.4,90.5,65.0,0,0,18,0,100.0,116.7,11.8,2,0,0,0,1,0,0.0,100,6.7
7,Jeff Sims,122496,QB,GA TECH,1,46.2,13,13,9.3,3.11,0,1,7.7,46.2,6,0,13,0.0,21,0,2,176,15.6,27.3,25.3,55.3,0,1,21,0,38.5,60.1,23.8,5,3,0,0,1,3,14.3,81,6.2
7,Chance Lovertich,121427,QB,S ALABAMA,1,58.3,12,12,11.3,2.99,0,0,0.0,58.3,7,0,5,0.0,14,0,6,288,66.4,68.8,73.6,52.8,0,0,15,0,0.0,101.4,0.0,0,2,0,0,1,0,0.0,66,5.5
7,Mike Fallon,75881,QB,UMASS,1,75.0,12,12,6.3,3.41,0,0,0.0,58.3,7,0,6,22.2,16,2,3,216,66.5,80.2,72.9,72.4,0,1,16,0,16.7,30.2,6.3,1,3,0,0,0,0,0.0,41,3.4
7,Austin Aune,83528,QB,N TEXAS,1,54.5,11,11,15.9,2.34,0,1,9.1,54.5,6,0,3,0.0,12,0,5,251,65.6,55.2,54.5,,0,2,12,0,33.3,55.3,8.3,1,0,0,0,0,1,8.3,125,11.4
7,Josiah Johnson,75883,TE,UMASS,1,75.0,8,9,5.3,3.05,0,0,0.0,66.7,6,0,5,0.0,11,0,3,216,68.5,61.6,49.4,70.0,1,1,11,0,0.0,36.1,0.0,0,2,0,0,0,1,9.1,39,4.3
7,Aaron Allen,78494,QB,LA TECH,1,88.9,9,9,6.8,2.21,0,1,11.1,88.9,8,0,2,0.0,9,0,3,208,66.3,71.2,73.5,58.2,0,0,9,0,0.0,140.7,0.0,0,0,0,0,1,0,0.0,80,8.9
7,Frank Harris,60586,QB,UTSA,1,50.0,8,8,10.4,3.2,0,0,0.0,37.5,3,0,3,25.0,10,1,2,331,66.5,48.5,45.5,60.5,0,0,10,0,0.0,89.1,0.0,0,2,0,0,1,1,10.0,31,3.9
7,Taisun Phommachanh,99577,QB,CLEMSON,1,57.1,7,7,7.4,2.3,0,0,0.0,28.6,2,0,2,50.0,8,2,0,140,66.2,65.0,60.2,63.5,0,0,8,0,50.0,39.6,12.5,1,0,0,0,0,0,0.0,9,1.3
7,Hunter Helms,122149,QB,CLEMSON,1,71.4,7,7,7.0,2.21,0,0,0.0,71.4,5,0,0,0.0,7,0,4,140,65.9,76.0,79.8,57.9,0,0,7,0,,145.2,0.0,0,0,0,0,2,0,0.0,74,10.6
7,Bailey Hockman,60383,QB,NC STATE,1,57.1,7,7,8.3,3.39,0,0,0.0,57.1,4,0,3,0.0,9,0,3,248,67.5,27.7,27.1,56.9,0,0,10,0,33.3,111.9,11.1,1,1,0,0,1,2,20.0,38,5.4
7,Harrison Bailey,124266,QB,TENNESSEE,1,50.0,4,4,14.5,2.15,0,0,0.0,25.0,1,0,0,50.0,4,1,1,307,63.3,47.7,46.9,,0,0,4,0,,52.1,0.0,0,0,0,0,0,1,25.0,24,6.0
7,Dalen Morris,60474,QB,NAVY,1,75.0,4,4,10.0,2.66,0,0,0.0,75.0,3,0,1,0.0,5,0,2,237,25.0,48.1,67.4,45.1,0,1,6,0,100.0,56.3,20.0,1,0,0,0,0,0,0.0,30,7.5
7,Will Spiers,45131,P,CLEMSON,1,66.7,3,3,3.0,2.17,0,0,0.0,66.7,2,0,0,0.0,3,0,1,140,62.7,40.2,39.4,,0,0,3,0,,75.7,0.0,0,0,0,0,0,1,33.3,13,4.3
7,Ira Armstead,123767,QB,VIRGINIA,1,50.0,2,3,20.5,3.43,0,0,0.0,33.3,1,0,1,0.0,4,0,1,335,69.7,85.5,50.8,81.1,0,0,4,0,0.0,42.4,0.0,0,1,0,1,0,0,0.0,9,3.0
7,Cade Ballard,102861,QB,ARMY,1,33.3,3,3,8.7,3.1,0,0,0.0,33.3,1,0,3,0.0,4,0,1,114,68.9,76.1,67.8,68.8,0,0,5,0,33.3,81.9,25.0,1,0,0,0,0,0,0.0,53,17.7
7,Evan Conley,97783,QB,LOUISVILLE,1,50.0,2,2,11.5,2.3,0,0,0.0,50.0,1,0,2,0.0,2,0,0,210,61.8,39.7,39.8,,0,0,2,0,0.0,56.3,0.0,0,0,0,0,0,1,50.0,5,2.5
7,Noah Johnson,37350,QB,USF,1,50.0,2,2,6.0,1.95,0,0,0.0,50.0,1,0,0,0.0,2,0,0,327,70.5,54.2,48.4,60.5,0,0,2,0,,56.3,0.0,0,0,0,0,0,0,0.0,-1,-0.5
7,Tyler Page,61631,WR,SMU,1,100.0,1,1,18.0,4.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,287,67.4,68.0,72.6,,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,55,55.0
7,Thayer Thomas,61515,WR,NC STATE,1,0.0,1,1,18.0,3.5,0,0,0.0,0.0,0,0,0,,1,0,0,248,64.6,64.5,33.8,,0,0,1,0,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
7,Johnny Ford,86854,HB,USF,1,,0,1,,3.3,0,0,0.0,0.0,0,0,1,,1,0,0,327,36.9,61.3,60.0,58.8,1,0,1,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
7,Jordan Yates,97416,QB,GA TECH,1,0.0,1,1,13.0,3.2,0,0,0.0,0.0,0,0,1,,1,0,0,176,65.9,43.3,46.8,55.8,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
7,J.T. Shrout,83562,QB,TENNESSEE,1,0.0,1,1,24.0,3.3,0,0,0.0,0.0,0,0,0,,1,0,0,307,60.3,27.3,27.7,,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
7,Joey Gatewood,82088,QB,KENTUCKY,1,100.0,1,1,5.0,1.3,0,0,0.0,100.0,1,0,0,0.0,1,0,1,202,68.7,68.2,71.8,59.5,0,0,1,0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
7,Davis Beville,99588,QB,PITTSBURGH,1,100.0,1,1,2.0,2.4,0,0,0.0,100.0,1,0,0,0.0,1,0,0,268,61.8,63.4,62.6,,0,0,2,0,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
7,Roshauud Paul,61714,WR,ARK STATE,1,100.0,1,1,10.0,4.3,0,0,0.0,100.0,1,0,1,0.0,1,0,1,113,69.6,62.4,73.1,,0,0,1,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,22,22.0
7,Tyger Goslin,77634,QB,NAVY,1,0.0,1,1,6.0,4.55,0,0,0.0,0.0,0,0,2,,2,0,0,237,70.5,54.0,52.8,57.6,0,0,2,0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
7,Cam Ward,133244,QB,INCAR WORD,1,76.3,59,64,9.8,2.84,2,4,6.0,59.4,38,0,22,15.6,71,7,24,189,46.1,72.5,72.8,57.5,0,1,74,0,13.6,106.1,4.2,3,3,0,3,6,3,4.1,458,7.2
7,Connor Sampson,33374,QB,W ILLINOIS,1,71.9,57,59,5.9,2.59,1,5,8.2,67.8,40,0,18,2.4,65,1,17,345,70.6,66.5,68.2,51.5,0,1,68,0,16.7,87.9,4.6,3,3,0,1,2,4,5.9,355,6.0
